day,stage,bib,rank,time,bonus,penalty,start_location,start_country_code,start_country_name,start_region,finish_location,finish_country_code,finish_country_name,finish_region,length,type,rider,team,dob,rider_country_code,rider_country_name,rider_region,team_country_code,team_country_name,team_region
2025-07-04,1,177,11,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Mike Teunissen,XDS ASTANA TEAM,1992-08-25,NED,"Netherlands, Kingdom of the",Europe,KAZ,Kazakhstan,Asia
2025-07-04,1,145,12,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Ivan Garcia Cortina,MOVISTAR TEAM,1995-11-20,ESP,Spain,Europe,ESP,Spain,Europe
2025-07-04,1,196,13,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Niklas Märkl,TEAM PICNIC POSTNL,1999-03-03,GER,Germany,Europe,NED,"Netherlands, Kingdom of the",Europe
2025-07-04,1,36,14,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Harrison Sweeny,EF EDUCATION - EASYPOST,1998-07-09,AUS,Australia,Oceania,USA,United States of America,North America
2025-07-04,1,207,15,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Krists Neilands,ISRAEL - PREMIER TECH,1994-08-18,LAT,Latvia,Europe,ISR,Israel,Asia
2025-07-04,1,131,16,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Kévin Vauquelin,ARKEA-B&B HOTELS,2001-04-26,FRA,France,Europe,FRA,France,Europe
2025-07-04,1,168,17,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Damien Touze,COFIDIS,1996-07-07,FRA,France,Europe,FRA,France,Europe
2025-07-04,1,1,18,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Tadej Pogacar,UAE TEAM EMIRATES XRG,1998-09-21,SLO,Slovenia,Europe,UAE,United Arab Emirates,Asia
2025-07-04,1,202,19,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Pascal Ackermann,ISRAEL - PREMIER TECH,1994-01-17,GER,Germany,Europe,ISR,Israel,Asia
2025-07-04,1,11,20,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Jonas Vingegaard,TEAM VISMA | LEASE A BIKE,1996-12-10,DEN,Denmark,Europe,NED,"Netherlands, Kingdom of the",Europe
2025-07-04,1,87,21,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Jasper Stuyven,LIDL-TREK,1992-04-17,BEL,Belgium,Europe,USA,United States of America,North America
2025-07-04,1,113,22,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Marco Haller,TUDOR PRO CYCLING TEAM,1991-04-01,AUT,Austria,Europe,SUI,Switzerland,Europe
2025-07-04,1,103,23,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Kaden Groves,ALPECIN-DECEUNINCK,1998-12-23,AUS,Australia,Oceania,BEL,Belgium,Europe
2025-07-04,1,33,24,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Kasper Asgreen,EF EDUCATION - EASYPOST,1995-02-08,DEN,Denmark,Europe,USA,United States of America,North America
2025-07-04,1,203,25,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Joseph Blackmore,ISRAEL - PREMIER TECH,2003-02-23,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,ISR,Israel,Asia
2025-07-04,1,125,26,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Luka Mezgec,TEAM JAYCO ALULA,1988-06-27,SLO,Slovenia,Europe,AUS,Australia,Oceania
2025-07-04,1,13,27,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Tiesj Benoot,TEAM VISMA | LEASE A BIKE,1994-03-11,BEL,Belgium,Europe,NED,"Netherlands, Kingdom of the",Europe
2025-07-04,1,106,28,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Mathieu Van Der Poel,ALPECIN-DECEUNINCK,1995-01-19,NED,"Netherlands, Kingdom of the",Europe,BEL,Belgium,Europe
2025-07-04,1,224,29,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Stian Edvardsen-Fredheim,UNO-X MOBILITY,2003-03-23,NOR,Norway,Europe,NOR,Norway,Europe
2025-07-04,1,221,30,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Tobias Johannessen,UNO-X MOBILITY,1999-08-23,NOR,Norway,Europe,NOR,Norway,Europe
2025-07-04,1,141,31,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Enric Mas,MOVISTAR TEAM,1995-01-07,ESP,Spain,Europe,ESP,Spain,Europe
2025-07-04,1,7,32,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Tim Wellens,UAE TEAM EMIRATES XRG,1991-05-10,BEL,Belgium,Europe,UAE,United Arab Emirates,Asia
2025-07-04,1,93,33,13991,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Cyril Barthe,GROUPAMA-FDJ,1996-02-14,FRA,France,Europe,FRA,France,Europe
2025-07-04,1,222,34,14004,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Jonas Abrahamsen,UNO-X MOBILITY,1995-09-20,NOR,Norway,Europe,NOR,Norway,Europe
2025-07-04,1,105,35,14004,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Jonas Rickaert,ALPECIN-DECEUNINCK,1994-02-07,BEL,Belgium,Europe,BEL,Belgium,Europe
2025-07-04,1,104,36,14004,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Xandro Meurisse,ALPECIN-DECEUNINCK,1992-01-31,BEL,Belgium,Europe,BEL,Belgium,Europe
2025-07-04,1,172,37,14011,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Davide Ballerini,XDS ASTANA TEAM,1994-09-21,ITA,Italy,Europe,KAZ,Kazakhstan,Asia
2025-07-04,1,12,38,14016,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Edoardo Affini,TEAM VISMA | LEASE A BIKE,1996-06-24,ITA,Italy,Europe,NED,"Netherlands, Kingdom of the",Europe
2025-07-04,1,81,39,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Jonathan Milan,LIDL-TREK,2000-10-01,ITA,Italy,Europe,USA,United States of America,North America
2025-07-04,1,211,40,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Arnaud De Lie,LOTTO,2002-03-16,BEL,Belgium,Europe,BEL,Belgium,Europe
2025-07-04,1,163,41,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Bryan Coquard,COFIDIS,1992-04-25,FRA,France,Europe,FRA,France,Europe
2025-07-04,1,73,42,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Jordi Meeus,RED BULL - BORA - HANSGROHE,1998-07-01,BEL,Belgium,Europe,GER,Germany,Europe
2025-07-04,1,193,43,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Pavel Bittner,TEAM PICNIC POSTNL,2002-10-29,CZE,Czechia,Europe,NED,"Netherlands, Kingdom of the",Europe
2025-07-04,1,112,44,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Alberto Dainese,TUDOR PRO CYCLING TEAM,1998-03-25,ITA,Italy,Europe,SUI,Switzerland,Europe
2025-07-04,1,57,45,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Robert Stannard,BAHRAIN VICTORIOUS,1998-09-16,AUS,Australia,Oceania,BRN,Bahrain,Asia
2025-07-04,1,52,46,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Phil Bauhaus,BAHRAIN VICTORIOUS,1994-07-08,GER,Germany,Europe,BRN,Bahrain,Asia
2025-07-04,1,24,47,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Tim Merlier,SOUDAL QUICK-STEP,1992-10-30,BEL,Belgium,Europe,BEL,Belgium,Europe
2025-07-04,1,17,48,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Wout Van Aert,TEAM VISMA | LEASE A BIKE,1994-09-15,BEL,Belgium,Europe,NED,"Netherlands, Kingdom of the",Europe
2025-07-04,1,77,49,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Danny Van Poppel,RED BULL - BORA - HANSGROHE,1993-07-26,NED,"Netherlands, Kingdom of the",Europe,GER,Germany,Europe
2025-07-04,1,35,50,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Neilson Powless,EF EDUCATION - EASYPOST,1996-09-03,USA,United States of America,North America,USA,United States of America,North America
2025-07-04,1,225,51,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Markus Hoelgaard,UNO-X MOBILITY,1994-10-04,NOR,Norway,Europe,NOR,Norway,Europe
2025-07-04,1,153,52,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Clément Berthet,DECATHLON AG2R LA MONDIALE TEAM,1997-08-02,FRA,France,Europe,FRA,France,Europe
2025-07-04,1,195,53,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Tobias Lund Andresen,TEAM PICNIC POSTNL,2002-02-08,DEN,Denmark,Europe,NED,"Netherlands, Kingdom of the",Europe
2025-07-04,1,85,54,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Mattias Skjelmose,LIDL-TREK,2000-09-26,DEN,Denmark,Europe,USA,United States of America,North America
2025-07-04,1,213,55,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Jasper De Buyst,LOTTO,1993-11-24,BEL,Belgium,Europe,BEL,Belgium,Europe
2025-07-04,1,161,56,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Emanuel Buchmann,COFIDIS,1992-11-18,GER,Germany,Europe,FRA,France,Europe
2025-07-04,1,204,57,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Guillaume Boivin,ISRAEL - PREMIER TECH,1989-05-25,CAN,Canada,North America,ISR,Israel,Asia
2025-07-04,1,2,58,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Joao Almeida,UAE TEAM EMIRATES XRG,1998-08-05,POR,Portugal,Europe,UAE,United Arab Emirates,Asia
2025-07-04,1,132,59,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Amaury Capiot,ARKEA-B&B HOTELS,1993-06-25,BEL,Belgium,Europe,FRA,France,Europe
2025-07-04,1,124,60,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Dylan Groenewegen,TEAM JAYCO ALULA,1993-06-21,NED,"Netherlands, Kingdom of the",Europe,AUS,Australia,Oceania
2025-07-04,1,223,61,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Magnus Cort Nielsen,UNO-X MOBILITY,1993-01-16,DEN,Denmark,Europe,NOR,Norway,Europe
2025-07-04,1,134,62,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Arnaud Demare,ARKEA-B&B HOTELS,1991-08-26,FRA,France,Europe,FRA,France,Europe
2025-07-04,1,165,63,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Alexis Renard,COFIDIS,1999-06-01,FRA,France,Europe,FRA,France,Europe
2025-07-04,1,31,64,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Ben Healy,EF EDUCATION - EASYPOST,2000-09-11,IRL,Ireland,Europe,USA,United States of America,North America
2025-07-04,1,205,65,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Matis Louvel,ISRAEL - PREMIER TECH,1999-07-19,FRA,France,Europe,ISR,Israel,Asia
2025-07-04,1,156,66,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Aurélien Paret Peintre,DECATHLON AG2R LA MONDIALE TEAM,1996-02-27,FRA,France,Europe,FRA,France,Europe
2025-07-04,1,21,67,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Remco Evenepoel,SOUDAL QUICK-STEP,2000-01-25,BEL,Belgium,Europe,BEL,Belgium,Europe
2025-07-04,1,186,68,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Jordan Jegat,TOTALENERGIES,1999-06-07,FRA,France,Europe,FRA,France,Europe
2025-07-04,1,66,69,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Carlos Rodriguez,INEOS GRENADIERS,2001-02-02,ESP,Spain,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,Europe
2025-07-04,1,107,70,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Gianni Vermeersch,ALPECIN-DECEUNINCK,1992-11-19,BEL,Belgium,Europe,BEL,Belgium,Europe
2025-07-04,1,51,71,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Santiago Buitrago,BAHRAIN VICTORIOUS,1999-09-26,COL,Colombia,South America,BRN,Bahrain,Asia
2025-07-04,1,37,72,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Michael Valgren,EF EDUCATION - EASYPOST,1992-02-07,DEN,Denmark,Europe,USA,United States of America,North America
2025-07-04,1,155,73,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Oliver Naesen,DECATHLON AG2R LA MONDIALE TEAM,1990-09-16,BEL,Belgium,Europe,FRA,France,Europe
2025-07-04,1,191,74,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Oscar Onley,TEAM PICNIC POSTNL,2002-10-13,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,NED,"Netherlands, Kingdom of the",Europe
2025-07-04,1,151,75,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Félix Gall,DECATHLON AG2R LA MONDIALE TEAM,1998-02-27,AUT,Austria,Europe,FRA,France,Europe
2025-07-04,1,28,76,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Ilan Van Wilder,SOUDAL QUICK-STEP,2000-05-14,BEL,Belgium,Europe,BEL,Belgium,Europe
2025-07-04,1,23,77,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Pascal Eenkhoorn,SOUDAL QUICK-STEP,1997-02-08,NED,"Netherlands, Kingdom of the",Europe,BEL,Belgium,Europe
2025-07-04,1,72,78,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Florian Lipowitz,RED BULL - BORA - HANSGROHE,2000-09-21,GER,Germany,Europe,GER,Germany,Europe
2025-07-04,1,71,79,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Primoz Roglic,RED BULL - BORA - HANSGROHE,1989-10-29,SLO,Slovenia,Europe,GER,Germany,Europe
2025-07-04,1,217,80,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Lennert Van Eetvelt,LOTTO,2001-07-17,BEL,Belgium,Europe,BEL,Belgium,Europe
2025-07-04,1,95,81,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Valentin Madouas,GROUPAMA-FDJ,1996-07-12,FRA,France,Europe,FRA,France,Europe
2025-07-04,1,91,82,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Guillaume Martin Guyonnet,GROUPAMA-FDJ,1993-06-09,FRA,France,Europe,FRA,France,Europe
2025-07-04,1,144,83,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Nelson Oliveira,MOVISTAR TEAM,1989-03-06,POR,Portugal,Europe,ESP,Spain,Europe
2025-07-04,1,115,84,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Fabian Lienhard,TUDOR PRO CYCLING TEAM,1993-09-03,SUI,Switzerland,Europe,SUI,Switzerland,Europe
2025-07-04,1,194,85,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Sean Flynn,TEAM PICNIC POSTNL,2000-03-02,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,NED,"Netherlands, Kingdom of the",Europe
2025-07-04,1,67,86,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Connor Swift,INEOS GRENADIERS,1995-10-30,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,Europe
2025-07-04,1,61,87,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Geraint Thomas,INEOS GRENADIERS,1986-05-25,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,Europe
2025-07-04,1,184,88,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Thomas Gachignard,TOTALENERGIES,2000-08-17,FRA,France,Europe,FRA,France,Europe
2025-07-04,1,3,89,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Jhonatan Narvaez,UAE TEAM EMIRATES XRG,1997-03-04,ECU,Ecuador,South America,UAE,United Arab Emirates,Asia
2025-07-04,1,44,90,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Hugo Page,INTERMARCHÉ - WANTY,2001-07-24,FRA,France,Europe,BEL,Belgium,Europe
2025-07-04,1,181,91,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Steff Cras,TOTALENERGIES,1996-02-13,BEL,Belgium,Europe,FRA,France,Europe
2025-07-04,1,158,92,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Bastien Tronchon,DECATHLON AG2R LA MONDIALE TEAM,2002-03-29,FRA,France,Europe,FRA,France,Europe
2025-07-04,1,183,93,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Alexandre Delettre,TOTALENERGIES,1997-10-25,FRA,France,Europe,FRA,France,Europe
2025-07-04,1,54,94,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Jack Haig,BAHRAIN VICTORIOUS,1993-09-06,AUS,Australia,Oceania,BRN,Bahrain,Asia
2025-07-04,1,162,95,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Alex Aranburu,COFIDIS,1995-09-19,ESP,Spain,Europe,FRA,France,Europe
2025-07-04,1,114,96,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Marc Hirschi,TUDOR PRO CYCLING TEAM,1998-08-24,SUI,Switzerland,Europe,SUI,Switzerland,Europe
2025-07-04,1,212,97,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Jenno Berckmoes,LOTTO,2001-02-04,BEL,Belgium,Europe,BEL,Belgium,Europe
2025-07-04,1,166,98,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Dylan Teuns,COFIDIS,1992-03-01,BEL,Belgium,Europe,FRA,France,Europe
2025-07-04,1,218,99,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Brent Van Moer,LOTTO,1998-01-12,BEL,Belgium,Europe,BEL,Belgium,Europe
2025-07-04,1,63,100,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Tobias Foss,INEOS GRENADIERS,1997-05-25,NOR,Norway,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,Europe
2025-07-04,1,58,101,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Fred Wright,BAHRAIN VICTORIOUS,1999-06-13,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,BRN,Bahrain,Asia
2025-07-04,1,214,102,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Jarrad Drizners,LOTTO,1999-05-31,AUS,Australia,Oceania,BEL,Belgium,Europe
2025-07-04,1,32,103,14030,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Vincenzo Albanese,EF EDUCATION - EASYPOST,1996-11-12,ITA,Italy,Europe,USA,United States of America,North America
2025-07-04,1,127,104,14057,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Elmar Reinders,TEAM JAYCO ALULA,1992-03-14,NED,"Netherlands, Kingdom of the",Europe,AUS,Australia,Oceania
2025-07-04,1,78,105,14057,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Aleksandr Vlasov,RED BULL - BORA - HANSGROHE,1996-04-23,,,,GER,Germany,Europe
2025-07-04,1,157,106,14057,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Callum Scotson,DECATHLON AG2R LA MONDIALE TEAM,1996-08-10,AUS,Australia,Oceania,FRA,France,Europe
2025-07-04,1,192,107,14057,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Warren Barguil,TEAM PICNIC POSTNL,1991-10-28,FRA,France,Europe,NED,"Netherlands, Kingdom of the",Europe
2025-07-04,1,56,108,14057,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Matej Mohoric,BAHRAIN VICTORIOUS,1994-10-19,SLO,Slovenia,Europe,BRN,Bahrain,Asia
2025-07-04,1,34,109,14057,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Alex Baudin,EF EDUCATION - EASYPOST,2001-05-25,FRA,France,Europe,USA,United States of America,North America
2025-07-04,1,138,110,14057,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Clément Venturini,ARKEA-B&B HOTELS,1993-10-16,FRA,France,Europe,FRA,France,Europe
2025-07-04,1,27,111,14057,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Bert Van Lerberghe,SOUDAL QUICK-STEP,1992-09-29,BEL,Belgium,Europe,BEL,Belgium,Europe
2025-07-04,1,86,112,14077,0,0,Barcelona,ESP,Spain,Europe,Barcelona,ESP,Spain,Europe,19,team time-trial,Toms Skujins,LIDL-TREK,1991-06-15,LAT,Latvia,Europe,USA,United States of America,North America
